#Re    B    Pr    Pe    BPe    lb    ub    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    
# Index 010: Re = 600.02, Pe =  30.00, B =  10.00
6.0002e+02    1.0000e+01    5.0003e-02    3.0003e+01    3.0003e+02    2.6000e+02    3.0000e+02    1.8695e+00    8.8075e-01    1.9736e+02    4.9265e-01    4.7337e-01    8.1705e-01    9.8917e+01    5.8407e-01    6.2324e-01    9.0770e-01    2.3887e+02    4.5326e-01    4.3292e-01    8.1619e-01    9.7467e+01    5.8720e-01    6.2647e-01    8.9921e-01    2.2582e+02    4.6500e-01    4.4449e-01    8.1807e-01    1.0146e+02    5.7872e-01    6.1757e-01    9.2101e-01    2.5878e+02    4.3659e-01    4.1693e-01    3.0109e-01    6.9891e-01    2.2626e-01    7.7374e-01    3.9436e-01    6.0564e-01    4.3604e-11    -8.1183e-04    3.4162e-04    -8.6048e-04    2.4916e-04    -8.6276e-04    5.5086e-04    nan    7.2211e-01    nan    3.8755e-01    
# Index 011: Re = 600.02, Pe =  30.00, B = 100.00
6.0002e+02    1.0000e+02    5.0003e-02    3.0003e+01    3.0003e+03    3.0000e+02    4.0000e+02    2.2072e+00    7.8242e-02    2.8623e+02    3.8816e-01    3.5107e-01    6.2091e-02    1.7682e+02    4.1455e-01    4.0856e-01    1.1185e-01    5.1435e+02    3.3110e-01    2.9968e-01    5.9485e-02    1.6680e+02    4.1783e-01    4.1225e-01    9.8869e-02    4.1736e+02    3.5418e-01    3.1838e-01    6.5039e-02    1.9198e+02    4.0842e-01    3.9996e-01    1.3186e-01    6.7174e+02    3.0199e-01    2.7821e-01    6.8731e-01    3.1269e-01    5.3746e-01    4.6254e-01    8.1127e-01    1.8873e-01    6.2691e-12    1.5779e-04    -6.8496e-04    2.3952e-04    -5.9439e-04    6.9886e-05    -5.4654e-04    nan    5.2890e-01    nan    2.3985e-01    
# Index 012: Re = 600.02, Pe =  30.00, B =  30.00
6.0002e+02    3.0000e+01    5.0003e-02    3.0003e+01    9.0009e+02    4.0000e+02    4.8000e+02    2.1026e+00    3.1659e-01    2.5603e+02    4.6423e-01    4.2595e-01    2.6460e-01    1.2693e+02    5.3497e-01    5.5232e-01    3.5101e-01    3.4159e+02    4.1581e-01    3.8058e-01    2.6186e-01    1.2359e+02    5.3881e-01    5.5625e-01    3.3862e-01    3.0926e+02    4.3332e-01    3.9597e-01    2.6876e-01    1.3369e+02    5.2691e-01    5.4341e-01    3.7055e-01    3.9472e+02    3.9061e-01    3.5914e-01    4.0925e-01    5.9075e-01    2.9587e-01    7.0413e-01    5.4228e-01    4.5772e-01    8.0788e-12    -4.6934e-05    -4.9322e-05    -2.7546e-05    -4.2608e-05    -7.5767e-05    -6.0874e-06    nan    6.4177e-01    nan    3.0604e-01    



# Index 013: Re = 1000.00, Pe = 100.00, B =  10.00
1.0000e+03    1.0000e+01    1.0000e-01    1.0000e+02    1.0000e+03    3.5000e+01    6.5000e+01    2.1654e+00    3.6124e+00    5.9955e+02    3.8870e-01    3.7639e-01    3.3406e+00    2.6495e+02    4.9926e-01    5.5803e-01    3.6751e+00    6.7684e+02    3.6303e-01    3.5219e-01    3.3483e+00    2.6210e+02    5.0202e-01    5.6128e-01    3.6516e+00    6.4976e+02    3.7174e-01    3.6011e-01    3.3309e+00    2.7047e+02    4.9400e-01    5.5218e-01    3.7154e+00    7.1997e+02    3.4999e-01    3.4065e-01    1.8833e-01    8.1167e-01    1.3010e-01    8.6990e-01    2.6868e-01    7.3132e-01    7.7762e-11    -2.0918e-03    4.9251e-04    -1.8195e-03    2.8142e-04    -2.3299e-03    8.5666e-04    nan    8.5926e-01    nan    3.9647e-01    
# Index 014: Re = 1000.00, Pe = 100.00, B = 100.00
1.0000e+03    1.0000e+02    1.0000e-01    1.0000e+02    1.0000e+04    9.1000e+01    9.2000e+01    2.3598e+00    1.6414e-01    3.2240e+02    3.6986e-01    3.3737e-01    1.3332e-01    2.0928e+02    3.8879e-01    3.8914e-01    2.3048e-01    5.6588e+02    3.2912e-01    2.8942e-01    1.2330e-01    1.9637e+02    3.8711e-01    3.8571e-01    2.0874e-01    4.6002e+02    3.5102e-01    3.1213e-01    1.4161e-01    2.2763e+02    3.8624e-01    3.8352e-01    2.6331e-01    7.3949e+02    2.9776e-01    2.6257e-01    6.8278e-01    3.1722e-01    5.2199e-01    4.7801e-01    8.1484e-01    1.8516e-01    7.0233e-12    -3.2242e-04    6.9397e-04    -1.1273e-03    1.2310e-03    -2.4389e-04    1.0733e-03    nan    3.5429e-01    nan    1.5014e-01    
# Index 015: Re = 1000.00, Pe = 100.00, B =   3.00
1.0000e+03    3.0000e+00    1.0000e-01    1.0000e+02    3.0000e+02    8.5000e+01    8.6000e+01    2.1714e+00    7.1493e+00    4.0208e+02    3.5998e-01    3.4786e-01    6.8267e+00    1.7920e+02    4.6560e-01    5.3333e-01    7.2129e+00    4.4612e+02    3.3911e-01    3.2662e-01    6.8404e+00    1.7783e+02    4.6763e-01    5.3575e-01    7.1887e+00    4.3075e+02    3.4622e-01    3.3363e-01    6.8082e+00    1.8190e+02    4.6181e-01    5.2894e-01    7.2554e+00    4.7064e+02    3.2828e-01    3.1623e-01    1.6497e-01    8.3503e-01    1.1332e-01    8.8668e-01    2.3741e-01    7.6259e-01    5.5513e-11    -1.9975e-03    3.9464e-04    -2.2563e-03    2.8837e-04    -1.7164e-03    5.3434e-04    nan    8.8415e-01    nan    4.0718e-01    
# Index 016: Re = 1000.00, Pe = 100.00, B =  30.00
1.0000e+03    3.0000e+01    1.0000e-01    1.0000e+02    3.0000e+03    6.3000e+01    6.4000e+01    2.0846e+00    8.9903e-01    3.7148e+02    4.5223e-01    4.2064e-01    7.5543e-01    1.6678e+02    5.3773e-01    5.7606e-01    9.7874e-01    4.8509e+02    4.0476e-01    3.7706e-01    7.4427e-01    1.6040e+02    5.4382e-01    5.8194e-01    9.5376e-01    4.4613e+02    4.1983e-01    3.9075e-01    7.6953e-01    1.7696e+02    5.2863e-01    5.6608e-01    1.0148e+00    5.4542e+02    3.8389e-01    3.5823e-01    3.5692e-01    6.4308e-01    2.6124e-01    7.3876e-01    4.7208e-01    5.2792e-01    -1.8082e-10    9.5711e-04    -5.3122e-04    1.4168e-03    -5.0102e-04    3.2851e-04    -2.9376e-04    nan    6.3314e-01    nan    3.0372e-01    
# Index 017: Re = 1000.00, Pe = 100.00, B = 300.00
1.0000e+03    3.0000e+02    1.0000e-01    1.0000e+02    3.0000e+04    9.1000e+01    9.2000e+01    2.3319e+00    3.5572e-02    3.3739e+02    2.8919e-01    2.4029e-01    3.3069e-02    3.1079e+02    2.8930e-01    2.4197e-01    8.4846e-02    8.6104e+02    2.8695e-01    2.2817e-01    3.0011e-02    2.9693e+02    2.8464e-01    2.3267e-01    7.1563e-02    5.9923e+02    3.1863e-01    2.6377e-01    3.4335e-02    3.2127e+02    2.9002e-01    2.4278e-01    1.1997e-01    1.4377e+03    2.3204e-01    2.0021e-01    9.5166e-01    4.8339e-02    8.6618e-01    1.3382e-01    9.8556e-01    1.4439e-02    -5.1100e-11    3.5402e-04    -6.9696e-03    6.7974e-04    -4.3996e-03    7.4577e-05    -5.0903e-03    nan    2.1511e-01    nan    9.2250e-02    



# Index 018: Re = 300.03, Pe =  30.00, B =   0.01
3.0003e+02    1.0000e-02    1.0000e-01    3.0003e+01    3.0003e-01    3.7000e+02    4.6000e+02    2.0697e+00    1.5816e+01    1.5405e+02    2.3121e-02    1.0265e-02    1.5800e+01    7.5159e+01    3.9097e-02    2.0772e-02    1.5819e+01    1.5946e+02    2.1998e-02    9.9155e-03    1.5808e+01    7.5053e+01    3.9195e-02    2.0811e-02    1.5817e+01    1.5775e+02    2.2353e-02    1.0024e-02    1.5787e+01    7.5345e+01    3.8901e-02    2.0704e-02    1.5822e+01    1.6203e+02    2.1474e-02    9.7575e-03    6.5062e-02    9.3494e-01    4.5287e-02    9.5471e-01    9.3297e-02    9.0670e-01    -2.8164e-11    8.3538e-04    -9.1387e-05    9.3693e-04    -7.4249e-05    7.4288e-04    -1.1060e-04    nan    1.1442e+00    nan    5.5487e-01    
# Index 019: Re = 300.03, Pe =  30.00, B =   0.10
3.0003e+02    1.0000e-01    1.0000e-01    3.0003e+01    3.0003e+00    2.6000e+02    4.6000e+02    2.0000e+00    1.1157e+01    1.6136e+02    1.0802e-01    6.6077e-02    1.1173e+01    7.9485e+01    1.6268e-01    1.2586e-01    1.1162e+01    1.7141e+02    1.0097e-01    6.2305e-02    1.1190e+01    7.9203e+01    1.6345e-01    1.2646e-01    1.1159e+01    1.6828e+02    1.0312e-01    6.3421e-02    1.1146e+01    7.9975e+01    1.6133e-01    1.2484e-01    1.1171e+01    1.7607e+02    9.7881e-02    6.0731e-02    1.1239e-01    8.8761e-01    8.0020e-02    9.1998e-01    1.5703e-01    8.4297e-01    -4.3443e-11    -9.3754e-04    1.2663e-04    -1.0405e-03    8.9555e-05    -8.2177e-04    1.7581e-04    nan    1.1086e+00    nan    5.5591e-01    
# Index 020: Re = 300.03, Pe =  30.00, B =   1.00
3.0003e+02    1.0000e+00    1.0000e-01    3.0003e+01    3.0003e+01    1.4000e+02    2.8000e+02    1.9661e+00    5.3186e+00    1.3187e+02    3.2558e-01    2.9899e-01    5.1479e+00    6.6071e+01    4.1687e-01    4.5000e-01    5.3987e+00    1.4931e+02    2.9843e-01    2.7417e-01    5.1532e+00    6.5468e+01    4.1970e-01    4.5300e-01    5.3709e+00    1.4375e+02    3.0665e-01    2.8138e-01    5.1424e+00    6.7160e+01    4.1218e-01    4.4503e-01    5.4413e+00    1.5774e+02    2.8699e-01    2.6422e-01    2.2320e-01    7.7680e-01    1.6343e-01    8.3657e-01    3.0012e-01    6.9988e-01    4.6111e-11    1.7490e-03    -4.4409e-04    1.7456e-03    -3.0771e-04    1.6964e-03    -6.0755e-04    nan    1.0443e+00    nan    5.3440e-01    
# Index 021: Re = 300.03, Pe =  30.00, B =  10.00
